transaction_id,account_id,purchase_date,sku_code,brand_title,product_category,cart_value_inr,coupon_discount,payment_gateway,shipping_city,return_flag,customer_score,event_type
MYN_TXN_0006207,MYN_ACC_00094,2025-09-16 15:00:55,MYN_B03,Clinique Moisture Surge 100H,Luxury Beauty & Fragrance,0.0,0,Credit Card,Kolkata,0,90,cart
MYN_TXN_0007180,MYN_ACC_00171,2025-09-16 22:46:30,MYN_W03,H&M Ribbed Knit Top,Women Western & Ethnic,0.0,0,Credit Card,Chandigarh,0,90,view
MYN_TXN_0000057,MYN_ACC_00432,2025-09-17 00:30:16,MYN_W04,W for Woman Silk Blend Trousers,Women Western & Ethnic,0.0,0,Myntra Credit / PayTM,Chandigarh,0,90,view
MYN_TXN_0006371,MYN_ACC_00383,2025-09-17 00:40:17,MYN_B02,Yves Saint Laurent Libre Eau De Parfum,Luxury Beauty & Fragrance,0.0,0,UPI AutoPay,Pune,0,90,view
MYN_TXN_0003048,MYN_ACC_00783,2025-09-17 00:49:49,MYN_W02,Anouk Embroidered Chanderi Kurta,Women Western & Ethnic,1999.0,500,UPI AutoPay,Bengaluru,0,80,buy
MYN_TXN_0003839,MYN_ACC_00738,2025-09-17 01:49:34,MYN_W01,Mango Floral Print Maxi Dress,Women Western & Ethnic,0.0,0,Myntra Credit / PayTM,Hyderabad,0,90,view
MYN_TXN_0003086,MYN_ACC_00770,2025-09-17 07:31:52,MYN_S03,Aldo Men Leather Chelsea Boots,Footwear & Sneakers,0.0,0,Net Banking,Pune,0,90,view
MYN_TXN_0004097,MYN_ACC_00592,2025-09-17 08:18:19,MYN_M04,Snitch Oversized Corduroy Shirt,Men Casual & Streetwear,1799.0,200,Net Banking,Chandigarh,0,95,buy
MYN_TXN_0005710,MYN_ACC_00264,2025-09-17 08:30:55,MYN_B02,Yves Saint Laurent Libre Eau De Parfum,Luxury Beauty & Fragrance,0.0,0,UPI AutoPay,Ahmedabad,0,90,view
MYN_TXN_0005605,MYN_ACC_00819,2025-09-17 09:56:49,MYN_W02,Anouk Embroidered Chanderi Kurta,Women Western & Ethnic,0.0,0,Credit Card,Hyderabad,0,90,view
MYN_TXN_0003093,MYN_ACC_00094,2025-09-17 10:43:13,MYN_M03,Calvin Klein Classic Logo Tee,Men Casual & Streetwear,0.0,0,Myntra Credit / PayTM,Kolkata,0,90,cart
MYN_TXN_0001463,MYN_ACC_00794,2025-09-17 11:38:54,MYN_W02,Anouk Embroidered Chanderi Kurta,Women Western & Ethnic,0.0,0,Myntra Credit / PayTM,Jaipur,0,90,view
MYN_TXN_0002917,MYN_ACC_00193,2025-09-17 11:45:22,MYN_B03,Clinique Moisture Surge 100H,Luxury Beauty & Fragrance,0.0,0,Credit Card,Bengaluru,0,90,cart
MYN_TXN_0002480,MYN_ACC_00239,2025-09-17 11:58:23,MYN_M03,Calvin Klein Classic Logo Tee,Men Casual & Streetwear,0.0,0,Net Banking,Chandigarh,0,90,view
MYN_TXN_0000115,MYN_ACC_00769,2025-09-17 12:04:18,MYN_B01,MAC Studio Fix Fluid Foundation,Luxury Beauty & Fragrance,0.0,0,Myntra Credit / PayTM,Kolkata,0,90,view
MYN_TXN_0002972,MYN_ACC_00302,2025-09-17 12:10:12,MYN_W01,Mango Floral Print Maxi Dress,Women Western & Ethnic,0.0,0,UPI AutoPay,Lucknow,0,90,view
MYN_TXN_0004671,MYN_ACC_00317,2025-09-17 12:26:38,MYN_B03,Clinique Moisture Surge 100H,Luxury Beauty & Fragrance,0.0,0,Myntra Credit / PayTM,Pune,0,90,cart
MYN_TXN_0006993,MYN_ACC_00613,2025-09-17 13:08:48,MYN_W01,Mango Floral Print Maxi Dress,Women Western & Ethnic,0.0,0,Net Banking,Lucknow,0,90,view
MYN_TXN_0004020,MYN_ACC_00442,2025-09-17 13:09:12,MYN_W04,W for Woman Silk Blend Trousers,Women Western & Ethnic,0.0,0,Net Banking,Kolkata,0,90,view
MYN_TXN_0002662,MYN_ACC_00822,2025-09-17 13:24:00,MYN_B03,Clinique Moisture Surge 100H,Luxury Beauty & Fragrance,0.0,0,Credit Card,Lucknow,0,90,view
MYN_TXN_0007815,MYN_ACC_00257,2025-09-17 13:40:31,MYN_B02,Yves Saint Laurent Libre Eau De Parfum,Luxury Beauty & Fragrance,0.0,0,UPI AutoPay,Mumbai,0,90,view
MYN_TXN_0006302,MYN_ACC_00416,2025-09-17 14:00:36,MYN_B03,Clinique Moisture Surge 100H,Luxury Beauty & Fragrance,0.0,0,Net Banking,Kolkata,0,90,view
MYN_TXN_0006100,MYN_ACC_00083,2025-09-17 14:06:28,MYN_B01,MAC Studio Fix Fluid Foundation,Luxury Beauty & Fragrance,0.0,0,UPI AutoPay,Kochi,0,90,view
MYN_TXN_0003457,MYN_ACC_00790,2025-09-17 14:22:12,MYN_B01,MAC Studio Fix Fluid Foundation,Luxury Beauty & Fragrance,0.0,0,Credit Card,Mumbai,0,90,cart
MYN_TXN_0005879,MYN_ACC_00804,2025-09-17 14:54:02,MYN_B02,Yves Saint Laurent Libre Eau De Parfum,Luxury Beauty & Fragrance,0.0,0,UPI AutoPay,Kolkata,0,90,cart
MYN_TXN_0003593,MYN_ACC_00808,2025-09-17 15:34:56,MYN_W02,Anouk Embroidered Chanderi Kurta,Women Western & Ethnic,0.0,0,Net Banking,Lucknow,0,90,cart
MYN_TXN_0000307,MYN_ACC_00380,2025-09-17 15:42:06,MYN_W03,H&M Ribbed Knit Top,Women Western & Ethnic,0.0,0,Credit Card,Chennai,0,90,view
MYN_TXN_0000960,MYN_ACC_00317,2025-09-17 15:54:25,MYN_S02,Birkenstock Arizona Leather Slides,Footwear & Sneakers,0.0,0,Myntra Credit / PayTM,Pune,0,90,view
MYN_TXN_0007438,MYN_ACC_00330,2025-09-17 16:31:02,MYN_W04,W for Woman Silk Blend Trousers,Women Western & Ethnic,1499.0,400,Net Banking,Jaipur,0,90,buy
MYN_TXN_0001440,MYN_ACC_00809,2025-09-17 16:46:46,MYN_W03,H&M Ribbed Knit Top,Women Western & Ethnic,0.0,0,Credit Card,Bengaluru,0,90,view
MYN_TXN_0005540,MYN_ACC_00170,2025-09-17 17:18:49,MYN_W02,Anouk Embroidered Chanderi Kurta,Women Western & Ethnic,0.0,0,Myntra Credit / PayTM,Bengaluru,0,90,view
MYN_TXN_0001249,MYN_ACC_00716,2025-09-17 17:19:50,MYN_W03,H&M Ribbed Knit Top,Women Western & Ethnic,0.0,0,Net Banking,Ahmedabad,0,90,view
MYN_TXN_0007944,MYN_ACC_00302,2025-09-17 17:23:06,MYN_M01,Tommy Hilfiger Organic Cotton Polo,Men Casual & Streetwear,0.0,0,Credit Card,Lucknow,0,90,cart
